Country Code,Country Name,Region,Subregion,Policy Measure Category,Policy Measure Type,Policy Measure Sub-Type,Policy Measure Description,Source,Addresses VAWG,Targets Women's Economic Security,Directly supports unpaid care,Gender Sensitive,Environmental relevance,Positive for environment,Gender-Green Nexus
JPN,Japan,Asia,Eastern Asia,Violence against women,Integration of VAWG in COVID-19 response plans,Not specific,"The 'Basic Policies for Novel Coronavirus Disease Control', by the Novel Coronavirus Response Headquarters include prevention measures for domestic violence and abuse at home during the confinement period.",https://senado.cl/crean-mesa-de-genero-covid-19-que-busca-visibilizar-la-situacion-de-la/senado/2020-05-08/144156.html ;,YES,NO,NO,YES,NO,NO,NO
JOR,Jordan,Asia,Western Asia,Violence against women,Strengthening of services,Police and justice responses to address impunity,"During the lockdown in Jordan, an emergency response team, with female police officers at its core, was formed and trained to respond to the crisis, including by conducting home visits to gender-based violence survivors in order to safely refer them to essential services, including psychosocial support. Police would also accompany survivors to the police station or court to ensure they could travel safely while movement restrictions were in place. PPE was distributed to law enforcement officers and professionals involved in VAWG service provision.",https://www.senado.cl/presentan-agenda-de-genero-covid-19-con-propuestas-en-areas-de-trabajo/senado/2020-06-23/134514.html ;,YES,NO,NO,YES,NO,NO,NO
JOR,Jordan,Asia,Western Asia,Violence against women,Awareness raising campaigns,Not specific,"Ministry of Health chairing a Risk Communication Committee and 'Elak w Feed' through the HeforShe movement, with efforts focusing on promoting inclusive communication and messaging as well as engaging youth in raising awareness on COVID-19 and domestic violence.",https://www.senado.cl/senado/site/mm/20200623/asocfile/20200623134514/agenda_g__nero_covid_22_de_junio_1.pdf;,YES,NO,NO,YES,NO,NO,NO
JOR,Jordan,Asia,Western Asia,Violence against women,Awareness raising campaigns,Not specific,"The National Campaign on COVID-19 prevention included messages on gender-based violence prevention including available hotlines disseminated in social media. In collaboration with the media, the Public Security Directorate launched an awareness campaign on VAWG during the pandemic.",https://cut.cl/cutchile/2021/04/05/mesa-de-genero-covid-19-del-senado-se-pronuncia-sobre-exigencia-de-receta-medica-para-venta-de-anticonceptivos/;,YES,NO,NO,YES,NO,NO,NO
AUS,Australia,Oceania,Australia and New Zealand,Violence against women,Collection and use of data,Not specific,"Australian Institute of Criminology conducted a survey of 15,000 women to build a national picture of the impact of the COVID-19 pandemic, including social distancing measures and financial insecurity and stress, on the prevalence and nature of domestic violence (including coercive controlling behaviours) and on help-seeking behaviours.",Information provided by UN Women and/or UNDP country office,YES,NO,NO,YES,NO,NO,NO
AUS,Australia,Oceania,Australia and New Zealand,Violence against women,Strengthening of services,Police and justice responses to address impunity,"Courts can impose electronic monitoring on offenders, and there is online access to restraining orders. A separate offence was introduced for breach of a family violence restraining order, with the penality increased from $6000 to $10000.",http://www.fiscaliadechile.cl/Fiscalia/sala_prensa/noticias_det.do?id=17578,YES,NO,NO,YES,NO,NO,NO
AUS,Australia,Oceania,Australia and New Zealand,Violence against women,Strengthening of services,Police and justice responses to address impunity,Survivor protection and support facilities have been granted extended powers of representation for survivors of violence to a limited extent for the duration of the restriction of freedom of movement due to the COVID-19 pandemic. The powers of representation include the filing of applications for interim injunctions for protection against violence and for protection of privacy.,https://www.gob.cl/saludablemente/mujer/ ;,YES,NO,NO,YES,NO,NO,NO
AUS,Australia,Oceania,Australia and New Zealand,Violence against women,Integration of VAWG in COVID-19 response plans,Not specific,"The Australian Government announced an 150 million AUD Domestic Violence Support Package to help family and domestic violence support services meet the growing demand as a result of the impacts of the coronavirus crisis. The 150 million AUD Domestic Violence Package includes funding for the national domestic, family and sexual violence hotline, 1800RESPECT. It also includes funding for MensLine Australia.",https://cepalstat-prod.cepal.org/forms/covid-countrysheet/index.html?country=CHL&theme=8 ;,YES,NO,NO,YES,NO,NO,NO
AUS,Australia,Oceania,Australia and New Zealand,Violence against women,Collection and use of data,Not specific,The Australian Government is monitoring trends in ICT-facilitated abuse amidst the restrictions and impacts of the COVID-19 pandemic.,https://minmujeryeg.gob.cl/?p=43246,YES,NO,NO,YES,NO,NO,NO
AUS,Australia,Oceania,Australia and New Zealand,Violence against women,Strengthening of services,Police and justice responses to address impunity,The Australian Government announced a further AU$20 million for the legal assistance sector to be used to assist those dealing with domestic violence.,,YES,NO,NO,YES,NO,NO,NO
AUS,Australia,Oceania,Australia and New Zealand,Violence against women,Strengthening of services,Coordinated accessible services,The government set up of a dedicated COVID-19 family and domestic violence taskforce to sit within Department of Communities and work with police and service providers to ensure services remain open during the pandemic.,https://cepalstat-prod.cepal.org/forms/covid-countrysheet/index.html?country=CHL&theme=8;,YES,NO,NO,YES,NO,NO,NO
FJI,Fiji,Oceania,Melanesia,Violence against women,Strengthening of services,Police and justice responses to address impunity,Fiji has continued to hear emergency cases and domestic violence and violence against women ones are considered emergency cases.,https://www.minvu.gob.cl/noticia/noticias/ministerios-de-vivienda-y-mujer-firman-convenio-para-apoyar-con-soluciones-habitacionales-a-mujeres-victimas-de-violencia/;,YES,NO,NO,YES,NO,NO,NO
FJI,Fiji,Oceania,Melanesia,Violence against women,Awareness raising campaigns,Not specific,"A public address from the Prime Minister condemning VAWG in the context of COVID-19 was a valued complement to the existing work undertaken to train male health workers, police and military members to support EVAWG.",https://www.sernameg.gob.cl/?p=33319,YES,NO,NO,YES,NO,NO,NO
FJI,Fiji,Oceania,Melanesia,Violence against women,Strengthening of services,Continuity of health sector response to VAW,A training was developed specifically for health care workers in hospitals and fever clinics to identify and safely refer women and children who have experienced violence.,https://cepalstat-prod.cepal.org/forms/covid-countrysheet/index.html?country=CUB&theme=8,YES,NO,NO,YES,NO,NO,NO
FJI,Fiji,Oceania,Melanesia,Violence against women,Strengthening of services,Coordinated accessible services,"Frontline service providers (participants included counsellors, social workers, mental health specialists, nurse, protection officer, logistics officer and community activists spread across each division of Fiji) have a strengthened understanding of COVID-19 and the impact on women and girls and are aware of the updated referral pathways in COVID-19.  A total of 56 participants (41 female and 15 male) received the GBV and CP COVID-19 Response Training, including Medical Services Pacific, Empower Pacific, Fiji Red Cross and House of Sarah frontline workers, whom are now better able to respond to cases of GBV and CP.",https://www.ipscuba.net/archivo/fmc-guia-de-intervencion-integral-a-la-violencia-de-genero-e-intrafamiliar-en-condiciones-de-aislamiento-social-o-cuarentenma-ante-la-covid-19/;,YES,NO,NO,YES,NO,NO,NO
FJI,Fiji,Oceania,Melanesia,Violence against women,Strengthening of services,Hotlines and reporting mechanisms,"In Fiji, the government focused on strengthening the national helplines (1560 and 1325), which are run by Fiji Women's Crisis Centre and Medical Services Pacific, respectively. Both helplines are government funded through the Ministry of Women, Children and Poverty Alleviation (MWCPA). The Fiji Women's Crisis Centre worked with the MWCPA's GBV Working Group and the Fiji Police to help explain how to get a domestic violence restraining order over the telephone. In addition the MWPCA worked with the COVID-19 IMT Comms team and Vodaphone and Digicell to blast messages on accessing 1560/1325 under #GBVCOVID19 to all Fijians with a mobile phone.",https://cepalstat-prod.cepal.org/forms/covid-countrysheet/index.html?country=CUB&theme=8,YES,NO,NO,YES,NO,NO,NO
